State_Name,Incident Count,Total_Students,Total_Students_Duplicated
NEW YORK,207,480420,734455
TEXAS,190,2490557,3833629
CALIFORNIA,166,1997653,3200419
ILLINOIS,87,707646,2991210
WASHINGTON,64,549871,730569
PENNSYLVANIA,50,298393,444437
CONNECTICUT,45,193544,255579
OHIO,44,329741,498766
MASSACHUSETTS,43,219396,250111
FLORIDA,43,2113740,4488117
NORTH CAROLINA,39,854921,1840626
NEW JERSEY,37,203853,275448
ARIZONA,36,207390,260149
MICHIGAN,35,138482,138482
VIRGINIA,32,622352,1360416
MISSOURI,30,198333,217022
IOWA,29,147307,147307
GEORGIA,28,816826,1347350
MINNESOTA,24,166240,226358
COLORADO,23,508498,536983
OREGON,22,231847,339462
WISCONSIN,22,83529,112069
SOUTH CAROLINA,20,297395,402649
ALABAMA,19,201944,253923
INDIANA,19,96110,112182
LOUISIANA,18,270142,353147
NEW MEXICO,17,178647,342585
OKLAHOMA,16,133670,246465
MARYLAND,15,715875,1530783
MONTANA,14,23252,30284
MISSISSIPPI,12,60441,60441
IDAHO,12,49408,67193
MAINE,12,13537,13537
KENTUCKY,12,188906,198703
HAWAII,12,174875,174875
NEW HAMPSHIRE,10,32146,32146
NORTH DAKOTA,10,44141,72596
NEVADA,9,383283,1996661
ARKANSAS,7,42875,42875
KANSAS,7,52305,55730
TENNESSEE,6,135172,135172
WEST VIRGINIA,6,52893,52893
UTAH,5,192284,253481
VERMONT,5,9925,9925
NEBRASKA,4,24395,24395
RHODE ISLAND,2,7672,7672
ALASKA,2,56430,56430
DISTRICT OF COLUMBIA,2,49687,99374
WYOMING,2,13275,13275
SOUTH DAKOTA,1,3036,3036
DELAWARE,1,968,968
